cdVendedor;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18
102;R$ 140.768;R$ 124.259;R$ 169.510;R$ 143.465;R$ 98.424;R$ 133.402;R$ 109.125;R$ 221.597;R$ 101.604;R$ 55.256;R$ 261.911;R$ 171.051;R$ 82.261;R$ 39.925;R$ 315.936;R$ 105.569;R$ 58.744;R$ 181.830;R$ 135.931;R$ 105.977;R$ 67.049;R$ 136.594;R$ 39.370;R$ 34.297
125;R$ 21.526;R$ 50.779;R$ 80.286;R$ 117.769;R$ 162.043;R$ 184.889;R$ 175.630;R$ 120.097;R$ 110.608;R$ 146.219;R$ 69.770;R$ 182.361;R$ 86.536;R$ 100.701;R$ 63.898;R$ 108.730;R$ 44.663;R$ 264.251;R$ 80.598;R$ 122.251;R$ 114.978;R$ 199.905;R$ 52.702;R$ 46.868
144;R$ 72.301;R$ 47.361;R$ 54.145;R$ 89.458;R$ 115.437;R$ 72.357;R$ 164.689;R$ 102.331;R$ 112.397;R$ 106.251;R$ 68.987;R$ 78.736;R$ 46.295;R$ 51.108;R$ 126.463;R$ 66.398;R$ 99.163;R$ 68.546;R$ 73.500;R$ 168.450;R$ 115.770;R$ 101.263;R$ 16.719;R$ 32.770
194;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 107.118;R$ 148.042;R$ 90.060;R$ 39.365;R$ 43.340
196;R$ 75.254;R$ 56.094;R$ 156.709;R$ 82.723;R$ 47.426;R$ 66.398;R$ 91.840;R$ 136.681;R$ 87.426;R$ 143.061;R$ 75.033;R$ 192.860;R$ 48.769;R$ 84.907;R$ 99.185;R$ 43.642;R$ 73.917;R$ 114.445;R$ 76.256;R$ 138.085;R$ 58.425;R$ 67.538;R$ 10.162;R$ 10.381
215;R$ 286.013;R$ 268.740;R$ 329.813;R$ 159.143;R$ 117.572;R$ 275.379;R$ 253.013;R$ 329.669;R$ 97.924;R$ 146.036;R$ 434.640;R$ 303.755;R$ 90.909;R$ 190.187;R$ 302.684;R$ 148.977;R$ 141.751;R$ 199.967;R$ 130.411;R$ 354.253;R$ 96.238;R$ 389.476;R$ 108.939;R$ 92.452
265;R$ 122.200;R$ 147.008;R$ 127.262;R$ 206.980;R$ 119.510;R$ 192.623;R$ 181.088;R$ 157.471;R$ 142.684;R$ 229.701;R$ 261.399;R$ 195.199;R$ 58.168;R$ 111.391;R$ 254.887;R$ 71.697;R$ 151.968;R$ 280.318;R$ 72.181;R$ 196.108;R$ 207.700;R$ 258.699;R$ 42.789;R$ 41.798
285;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 39.276;R$ 35.473;R$ 73.454;R$ 36.859;R$ 75.761;R$ 114.751;R$ 90.022;R$ 43.710;R$ 59.640;R$ 98.668;R$ 62.042;R$ 61.237;R$ 223.984;R$ 211.970;R$ 113.606;R$ 61.835;R$ 114.052;R$ 103.480;R$ 31.620
326;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 108.977;R$ 163.633;R$ 125.325;R$ 183.714;R$ 53.283;R$ 110.542;R$ 80.017;R$ 56.450
660;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 28.839;R$ 18.374
669;R$ 0;R$ 0;R$ 0;R$ 0;R$ 0;R$ 68.107;R$ 109.175;R$ 150.698;R$ 127.475;R$ 128.952;R$ 86.569;R$ 79.299;R$ 92.535;R$ 137.971;R$ 47.613;R$ 105.229;R$ 130.952;R$ 150.327;R$ 68.994;R$ 131.498;R$ 97.511;R$ 138.202;R$ 34.953;R$ 28.029
